revrId,revrName,revrDate,revrText,revrStar,revrSource,revrExperience_Positive_or_Negative,restId
V000000011,Nora B.,10/9/21,"Solid brunch options, spacious (both interior and exterior seating), and attentive servers. I got the Monte Cristi burrito which is a bit burned but tasted ok. The portion is quite big so I couldn't finish, but it's fair for the price. Still, it's a nice place for brunch + cocktails with friends near College Par",3,Yelp,N,R100000
V000000012,Rick B.,10/8/21,"This place is chronically understaffed and disorganized. Tonight I was told the wait for a table would be 35 minutes; I waited at the bar and an hour later still hadn't gotten they promised text. Meantime I paid for 2 hours on the meter. I went back to the hostess stand, was ignored, until finally I walked in front of the people in line and asked what was up. Hostess said, oh, sorry, a lot of people reserved tables but they are bussing three now. That was 15 minutes ago.",1,Yelp,N,R100000
V000000013,Tracy H.,9/26/21,"A welcomed ""trendy"" restaurant/bar in College Park, near the University of Maryland campus, I had dinner here twice last week with a friend -- once on a Monday night, and then on a Saturday night.  The bartenders and servers were friendly, attentive, and excellent.  The cocktails were especially well made with care, the food was hot and well presented.  During the pandemic, I have generally dined outdoors, but I was comfortable staying inside as the space here was relatively large and open.  A couple of minor awkward/negative points:  security checks ID at the door to put a paper bracelet on your wrist if you will be drinking; and, during both visits, security walked around about 10 minutes before closing to ask us and others to wrap up.  Monday night was quieter and better for having a conversation, which I preferred; Saturday night had louder ""background"" music, requiring louder talking.  I toggled between 3 and 4 stars, even after some adverse effects from one of the dinners, but the stellar service, drinks, and pizza pushed me to 4 stars.

Below are some notes on the specific items I ordered during my two visits:

Schmidt Happens (5/5 stars):  I watched the bartender carefully make this cocktail, with the different color of gins layered for a nice presentation.  I recently discovered that I like gin, and this drink did not disappoint.  For me, this cocktail was one that I could sip throughout dinner.  It seemed appropriately gin-strong with just a hint of sweetness.  I am not always in a gin mood, but when I am, this would be a good go-to.

Figgy Smalls (4/5 stars):  I ordered this cocktail since I like both Hennessy and especially Grand Marnier.  This drink was nicely presented with a sugar rim and sage leaf floating on top.  As expected, it was a bit on the sweet side but not overly so.  Because it was so smooth, and because it was small, I could have simply downed it and moved on.  I forced myself to make it last through half the dinner before then ordering a beer that I was curious about.

Aslin Tease Me Big A$$ Stout 13% ABV (5/5 stars):  I first asked for a taste, and the server gave me a generously sized sample.  A very dark, very smooth, very strong, slightly sweet stout.  My kind of sipping beer!  

Buffalo Chicken Pizza (4/5 stars):  This pizza came out piping hot!  It had a nice mix of chicken, cheese and buffalo sauce with a comfortable amount of heat.  The crust was thin and crispy.  I had planned to have only 1-2 slices and take the rest home, but I instead ate 4 of the 6 slices.

Alfredo's Chicken Medallions (2/5 stars):  Normally, I would like the combination of components with fettuccine -- spinach, pancetta, smoked mozzarella, cream.  And, my friend who had it on the first visit raved about it.  So, let me start with the positive for my dish, which I ordered on the second visit -- This pasta came out hot and steaming.  Now for the negatives.  The cream sauce was not as rich and thick as I would have expected; it was somewhat light and thin.  The fettuccine was overcooked, the chicken overcooked and dry.  Overall, something was ""off"" on the taste; I couldn't quite place it.  I chalked it up to the combination just not being what I expected.  It was ""OK"", I was hungry, and so I finished it.  Shortly after finishing dessert, the upset stomach began, with other related symptoms following until mid morning.  I probably will steer clear of this dish on future visits.

Blondie with Ice Cream (3/5 stars):  Not a strong stand out but fine for when you want to satisfy that sweet tooth.  The blondie itself was bigger than I anticipate; more ice cream would have been ideal.  The addition of chocolate and marshmallow cream was nice, and the blueberries were unexpected and went well with the blondie and ice cream.
",4,Yelp,P,R100000
V000000014,Chelsea M.,9/25/21,"I've never been compelled to leave a review but the Hall CP is a very interesting place. Inarguably, the Hall has the best food in college park compared to restaurants of a similar nature. Like if you're choosing between the Hall and Looney's, I promise your palette will have a much better experience at the Hall than the restaurant whose food tastes like the floor of a 7-11 over seasoned with old bay. Although I think the Hall is confused on what they think Jerk chicken is, the rest of the food is really good. I recommend the the soft pretzels. It tastes how lil nas x's Call Me By Your Name sounds. I also love the lavender lemonade! I'd pass on their frozen drinks but that's just my personal preference. Most of my critique of the Hall lies in the service. When my husband and I first went it took us 15 minutes to get served and that's only because we flagged someone down. We also received our appetizers and main entree all at once on both occasions we dined at the Hall. It feels like staff is really hesitant to serve like they're unsure of what to do. There doesn't seem to be a dress code for waiters which is fine except I had no idea who was a waiter and who wasn't. One girl was dressed like she flew back from New York Fashion week and another that looked like they just got back from the gym. Maybe a name tag or uniformed fanny packs would be helpful? There was one girl who I did see with a fanny pack and sneakers and looked like a real professional. I watched her serve her customers with envy. Other than that, the restaurant was really cute! Great spot to hang out after a game or for happy hour or something.",4,Yelp,P,R100000
V000000015,Aimeer M.,9/24/21,"Horrible service. I arrived with 1 more person & the 2 young white hostess stated it was full. However a group of 5 young girls walked in after us , with no reservation & got seated.... Deduce whatever you want from that.",1,Yelp,N,R100000
V000000016,Dinh D.,9/17/21,"Been here several times and normally the service is decent. Last night 9/16 around 7:50pm, my friends and I sat at the bar due to reservations only after a certain time. The female bartender with dark hair just put the paper menu down and did not even introduce herself or welcome us. After a couple minutes just asked for what we wanted. My friends and I are pretty easy going diners so we know what we want after having visiting this place several times. Our drinks and food were forgotten and and we had to notify the staff of them missing. We were never checked on often and had to wave them down for service. At the end, my friends and I asked to split the bill and the bartender gave an attitude and rudely walked off from my friend while he was trying to explain what he had ordered which was pretty simple since he only had drinks. I've been here several times as I am a alumni to the school and this place has pretty good food and drink prices. I have had decent service with some being great however, this was the worst one.",2,Yelp,N,R100000
V000000017,Angela M. P.,9/17/21,Good food & good service. One of my favorite places. I love the shrimp nachos and the lavender lemonade cocktail. I come here regularly,4,Yelp,P,R100000
V000000018,Tavianna W.,9/16/21,Eveleen was wonderful! The drinks and food are really good - whatever you choose will be tasty. Even the Cobb salad is bomb.,5,Yelp,P,R100000
V000000019,janel b.,9/14/21,"Excellent venue, drinks and creative menu. Brunch was delicious and have also been there for lunch. More staff would probably make things quicker shut everyone is working their butts off to give great service!",5,Yelp,P,R100000
V000000020,Tshegofatso T.,9/14/21,Asked for medium done burger and I got a burnt burger with sloppy service. The servers here are kids and they do not take their job seriously. They come in looking dirty and saggy. I've been here a couple of times and every time there is something wrong. I will no longer come here. The only good thing here is their pizza and nachos.,2,Yelp,N,R100000
V000000021,Morgan J.,9/13/21,I love this place. The waitresses were very kind and worked with us for a table so we could have our best experience in the pandemic. The flavors of this restaurant are great and I love the young atmosphere since it is right near the University,5,Yelp,P,R100000
V000000022,Mahin Z.,9/12/21,"The menu was really fun!  They remained in touch with modern influences (such as tiktok trends) while also maintaining good options on the menu.  I really enjoyed the Vegan Crab Cake Sandwich, and my friends really liked what they ordered.  The birria tacos were a major hit.  Would come back if in the area.",5,Yelp,P,R100000
V000000023,Jamie A.,9/11/21,"The food wasn't bad...the service was though. After being seated it had to take at least 30 minutes to get water. The things is, it wasn't even our waitress who attended to us. Instead another young lady who was about to clock out noticed we'd been unattended to for some time and told us she felt bad to see us wait. We were also given brunch menus when we arrived which was right when brunch was ending. We only found out after an hour of waiting for our actual server to come by. She took our drink order and then left for another long period of time. Overall she wasn't attentive to our table and left us waiting with very little service. But when we did get our food (short rib tacos and shrimp nachos) we enjoyed everything. The drinks were also pretty good. Unfortunately our service was very slow, not to mention the numerous BEES that swarmed us. We had to get up and move seats about 3 times to avoid them. At the end of our meal our waitress walk by us without checking in about 3 separate times, and again it was another waitress who got her attention for us so we could pay. We enjoyed the food but wish service wasn't so disappointing.",2,Yelp,N,R100000
V000000024,Aaron P.,9/11/21,"Solid brunch destination. Great food, great prices, enjoyed the mimosas, and the DJ's music selection. Everything about this place was great except one thing - BEES. We were seated on the outside near the building and as soon as our food came out the bees were attacking in force. We would have moved, but we were told no other tables with umbrellas (as 3 such tables sat empty) were available. We had to finish our meal and leave quickly before the swarm took over. I'd love to come back. Hopefully the bee problem is fixed by then.",4,Yelp,P,R100000
V000000025,Alyssa S.,9/11/21,"I've been coming to the hall since it opened and for the first time since then I've been treated poorly. I walked into the establishment as I would have any other time and told the hostess that I was meeting friends at the bar. After an hour and a half of sitting at the bar a bouncer, who they have never had before, decided to come up to me and rudely say ""where is your wristband."" With absolutely no idea what he was talking about I looked at him and he said ""did someone card you."" Of course someone carded me I'm 21 ordering alcohol. But instead he insisted on staring and BENDING my real id only for it to be real. He then brought over the manager while they both interrogated me about what happened. If you're going to start having bouncers, train them",1,Yelp,N,R100000
V000000026,Collin Z.,9/11/21,"Me and my table have been waiting to order our food for a hour, we had 10 ppl here but they only gave us 4 cup of water, as I'm writing I am still waiting",1,Yelp,N,R100000
V000000027,Ariel B.,9/6/21,Whew rough spot! Was so excited to try The Hall and while the brews didn't let me down the food did! I ordered the crab dip & the Chesapeake pizza and THEY BOTH WERE MISSING THE CRAB!! I was heartbroken! Service was slow too we had a nice lady from behind the bar serving us as she took care of the bar patrons as well and it took so long to get her attention that I forgot to mention the lack of crab. Decent spot just don't expect crab.,3,Yelp,N,R100000
V000000028,Mary N.,9/5/21,This place just hired 3rd party security for checking ids. I am 21 years old and they told me my id was fake and forced me to leave the restaurant. All of my friends who are also 21 were let in except for me. I strongly believe that I was denied because I am gay woman. I will never be spending my money here again.,1,Yelp,N,R100000
V000000029,Delanie V.,9/4/21,The food here is really good but it has some of the worst service ever... the last few times I've been here it consistently takes 20+ minutes to just get water. Like this place a lot but don't know if I'll come back due to the horrendous service.,1,Yelp,N,R100000
V000000030,Scott A.,9/4/21,"My longtime dining partner and I both grew up in a college town. So, on a whim, (and a vacation day) we decided to wander over to College Park MD.

We stopped at the Hall CP for Lunch.

1. their chicken wings were amazing! the right mix of crunchy and tasty. The ranch dip was perfect!
2. The food overall was a mix of brunch and lunch which was nice. My dining partner went for brunch and enjoyed eggs with Ricotta Cheese. For those who know her, something Greek is not a surprise!
3. I got the Lamb Wrap, The Hall's take on a Gyro. The meat was ground lamb, well prepared and spiced! The pita was awesome!

Oh yeah, did I mention they had me at Guinness on tap?

We ate outdoors and it was the perfect day. Our server was very friendly and checked in on us often!

The Hall CP, a great place to stop in College Park!",5,Google,P,R100000
V000000031,Pg E.,8/30/21,"Where to begin...

My friend arrived before me and was told there wouldn't be a 45 minute wait, I then mentioned that we had a reservation and they sat us immediately. The host was walking so fast that she was already coming back inside when we were coming out...strike 1.

We asked to move tables to the shade since a table opened up, the server said it would be fine to let our server know. We informed him that we didn't have one, yet. We sat and sat and sat after 30 mins I stopped a young lady who was serving many of the people outside. I asked if we could get a server, some water something. She said ""sure""
...20 minutes nothing
I see her again and ask where our server is...she replies "" we are doing a shift change, sorry for the delay, but your server will be here soon.""
...10 minutes...nothing
I flag her again and ask for the manager.
The manager comes out and blames me and my friend for the absent server, she goes back and forth with me about the mix up but still blames us.

I'm sorry but we asked before we moved!!

She offers drinks on the house (She covered one round)

A lovely server comes out named MP who was very attentive and apologetic (ask for MP !!). I suspect she's their best server and they wanted her to help smoothe things over ...

Our food was bland and terrible, giant mozzarella sticks needed some flavor in that breading, some salt, pepper, onion or garlic powder ....SOMETHING.

Old bay honey Wings fried 3 times, please stop at 2 ( and I love my wings fried hard.... but baby not this hard) were bland..

Brussel sprouts .... oily but had seasoning

I wouldn't come here again... like not even for a free soda.",1,Yelp,N,R100000
V000000032,Stacey M.,8/29/21,"I just went to The Hall after my daughter had been raving about this place. What a let down. The food was mediocre. They ran out of my original choice, the short rib tacos. How does a restaurant run out of food? On top of that the waitress was terrible. We were placed in the back room. The waitress kept peeking around the corner multiple times before she finally came to our table. She never checked in after our order was placed. Or after the food was brought to our table. I don't want to embarrass her by publicly naming her on this platform. Management, let this be a notice to you that you should better train your employees on how to treat customers. In this day and age consumers have many food options. We don't have to make The Hall one of them.",1,Yelp,N,R100000
V000000033,Ann K.,8/28/21,"My family from out of town came for a reunion and the young ones wanted a place where we could spend more time afterward. This was perfect. We had a 17 yr old with us, so being able to also spend time with him was great, since we can't take him most places past 8. service was on point and everyone was courteous! There's a beer or mock drink for anyone and the crab dip was great! Will recommend!",5,Yelp,P,R100000
V000000034,Katie D.,8/22/21,"This is my favorite place in college park! Keira was my server with a very large table. She knew every order, every drink and every check. Such a great time here",5,Yelp,P,R100000
V000000035,Katie F.,8/20/21,"A friend and I went here for brunch after finding our first choice had over an hour wait for a table for two.

There was zero wait here and there is plenty of seating in several different areas, and outdoor seating as well.

We both had cocktails which were delicious
-bottomless mimosa for me (several flavors available, I tried 2 that were both great)
-wake 'n bake coffee cocktail for her

She had an eggs benedict and I had the monte cristo burrito. Both were great.

Everything was delicious and affordable, would definitely come back!

If you are unfamiliar with the campus:
The parking situation is confusing, and our google maps gps sent us to the completely wrong area/missed the turn completely, so we both had to circle back to the main road and u-turn to get into the entrance.
The parking lot is one big area which seems to have some paid parking and possibly some that isn't? some spots were clearly labeled as not for public parking, but others were not. It seemed like part of the lot near the building was free to park, but the spots next to it were pay via app/machine. We both think we found okay spots and were not towed thankfully, so possibly free on weekends.",5,Yelp,P,R100000
V000000036,Tony K.,8/17/21,"Nice spot for food/drink. Broke bread here with a couple of my friends; the drink specials are great, lots of good cocktails too. I got the ""bacon, ham, and pineapple jam"" pizza, forgot what they call it on the menu but it was pretty damn good. The jam was a little too sweet but it wasn't a big enough deal to warrant less stars. Their pizzas are 12"" with six slices. I was happy to find a place away from home that can serve me pizza while accommodating my food allergies, as their pizza dough is made in-house and was assured that my entree did not contain my allergen. The waitress was very helpful with drink recommendations and the overall service was relatively quick. If I was local, I'd definitely try out their brunch. It was a very enjoyable place to catch up with some friends and I'd definitely come during happy hour again.",5,Yelp,P,R100000
V000000037,Keena P.,8/15/21,"I gave this place a second chance because the first time I was here, it was with a large party. I came back to make sure. We were seated in the same area with the same waiter Kevin who is TF TERRIBLE !! not attentive enough to the patron and has the audacity to select the largest tip when he hands you the remote checkout device. probably do take out moving forward.",2,Yelp,N,R100000
V000000038,Garid G.,8/9/21,"Great, cheap brunch spot that hits the spot!

Went here almost on a whim on Sunday because we wanted brunch. We made a reservation via OpenTable but probably didn't need to. It wasn't too crowded but there were plenty of customers as well. Service was great regardless. Our waiter came by multiple times during our meal always with a smile on his face and willing to provide whatever we needed.

The food was also very good. We wanted to order the omelet but asked for very specific things to be taken out and other things to be added and they almost got the order perfectly right besides one small ingredient. The pancakes meal was very good. The bacon may have been the best part.

Sunday's are half off drinks. I ordered a wonderful sangria that definitely hit the spot and I would order again. There are also other drinks that I'm sure are just as good.

We are definitely looking forward to going back and trying something different next time as we feel lie we only touched one aspect of the menu.

Would like to see what it is like when the student's come back to campus as I imagine things will be much busier and a little different.",5,Yelp,P,R100000
V000000039,S N.,8/5/21,"Really great! Kinda overpriced for the college crowd, but overall the flavor and quality of the food makes it worth it. Does not seem to be enough servers, but the slower service has never been a huge problem. Nice grilled cheese and tomato soup, mozzarella sticks, green salad, and pizza.",4,Yelp,P,R100000
V000000040,Vivian C.,8/3/21,"The Hall CP was good! The drinks were tasty and strong!  The food was amazing. From the appetizers to the food (brunch). The menu has food for all eaters (vegan, gluten, vegetarian). You will get your money's worth. We dined inside due to the weather. Hopefully next time we can enjoy the cool modern outdoor space.

The only thing that made my girls and I uncomfortable were the metal dining chairs (not heavy bottom/plus sized approved). We asked to sit at the cushioned booth (much better). I think if they had cushions on the chairs they would be more comfortable. Also when we were there another group of ladies asked to change their seats from the chairs to the cushioned booth.",4,Yelp,P,R100000
V000000041,Eleanor P.,8/1/21,"Came to the The Hotel at the UMD for a work trip and took my family with me. Undecided where we would go for dinner at 8:30pm on a Sun night, and realized this cute place called The Hall right behind the hotel. Food was AMAZING, particularly the short rib tacos, the appetizer wings, and the BEST Chicken Alfredo EVER( (the crispy pancetta in the Alfredo gave it an amazing taste). Our waitress, KC, was so wonderful!! She was very attentive and super sweet!! Highly recommend this place (and The Hotel!) if you're ever in town! Definitely coming back!",5,Yelp,P,R100000
V000000042,Jisue G.,7/25/21,"The Hall had decent food and service, but a nice ambience overall! I got the street cauliflower which I highly recommend as an appetizer, and the chicken pow salad for my entree. Both were pretty decent. We also got a twisted tea drink but the drinks are a little overpriced ($12). The waitress was very friendly but sometimes it can take them a while to get to you for the check. I recommend this place if you are in college park!",4,Yelp,P,R100000
V000000043,Romario B.,7/25/21,Great atmosphere for sports and good music. I came here to watch the finals and I enjoyed every last minute of it .,4,Yelp,P,R100000
V000000044,David G.,7/24/21,"My short ribbed tacos were stuffed with generous portions of tender meat. Service was efficient and friendly, even though food preparation was a bit slow.",4,Yelp,P,R100000
V000000045,Jennifer J.,7/21/21,"Food here is pretty good, but unfortunately we got bad service when we dined in a few weeks ago.

The Good - Initially we've ordered from here a few times via UberEats and enjoyed the food. We live nearby, so we were excited to dine-in the establishment. Park in the allocated spots for The Hall. The restaurant is nice, with both indoor and outdoor seating. Liked how everything is laid out and decorated. Definitely a vibe for the uni students. Food staples - soft pretzels w/ cheese fondue, nachos, fried chicken sandwich and pizzas.

The Bad - Our server ended up being one of the bartenders, and he needs to stay behind the bar. I was a bit indecisive on what to order and he seemed annoyed, which doesn't make a patron feel good. Alas, we did order and although our appetizer came out at a decent time, we waited for about an hour for our entrees to arrive. It wasn't excessively busy and the restaurant was nearly empty by the time we received our food. Our server was behind the bar majority of the time and by the late time he noticed, he went and checked on our food. One of the cooks brought our food out, and she was apologetic.

The Ugly - The service from our server/bartender sucked, so docking two stars. The dine-in experience had its aftereffect - we used to order a lot from here and we haven't ordered since...or cared to dine-in. Oi",3,Yelp,N,R100000
V000000046,Bob M.,7/19/21,"This is a tough review to write because there is good and bad with this place.  The location is convenient to the university, but there is a pay lot.  Sure,  that is to be expected, but...
With a fairly limited menu,  which has some very interesting flavor profiles, all effort is wasted because the kitchen can't move the plates.  A 100 minute wait for eggs benedict, a tuna burger, an acai bowl, and buffalo chicken tacos is unacceptable.  Of course the waitress apologized, but didnt think to refresh our drinks until the second apology tour.  When the food did arrive, it came in shifts and some of our plates were cold.  How is that even possible?  If you want to wait,  the food is fairly good,  but make sure you pay enough for parking.",2,Yelp,N,R100000
V000000047,Jamie T.,7/18/21,I had a wonderful time at the hall tonight. There was a live band that absolutely set the mood for the evening. We ordered a couple of the Double Peached Up and Figgy Smalls which were both delish!! Our server was MP and she was so friendly and accommodating. We were unsure what to order and she guided us through her suggestions. All around great experience would absolutely recommend!,5,Yelp,P,R100000
V000000048,"	
Jose F.",7/18/21,"Terrible service. It took them more than one hour to prepare our to-go egg benedict and an avocado toast. Being there with my wife and 6-month old son was not enough for them to try to hurry up a little bit. They kept saying ""sorry, we are understaffed."" I'm sorry but if you don't have enough people, simply don't open. Will never go back there...not even for free.",1,Yelp,N,R100000
V000000049,Ann R.,7/16/21,"I got the fried chicken sandwich and dragonfruit beer. The sandwich was pretty good! Honestly I thought it was going to be a lot especially with the donut bun, but it was actually pretty well balanced. The chicken was juicy and a huge serving. It came with this sweet, spicy sauce and it really helped the whole sandwich. The greens had some bitterness which really helped with the sweetness. My dragonfruit beer was pretty good - not too sweet, not too bitter. (I will say, towards the end of my drink I saw an eyelash in it. Ended up not finishing it, but other than that it was good. Good vibes in there.",4,Yelp,P,R100000
V000000050,Melody R.,7/16/21,"For starters the wait was minimal and the hostesses were more than welcoming.... Ahhhh now for my server. I was fortunate to be served by Luke. Although newer to the restaurant he was VERY knowledgeable and was able to answer all my questions with great detail. He consistently came to check on the quality of each item that hit the table. As a former server/bartender myself I greatly appreciated that. The drinks (Long Island and Electric Lemonade Crush) were made to perfection. This is my second visit and I visited around 6PM, what I thought would be one of the busiest hours on a Friday and still received exceptional service! Will definitely return to see Luke, great personality and nice glasses.",5,Yelp,P,R100000
V000000051,Chi K.,7/13/21,"Excellent service, big and spacious dining room.  Food was really good.  Got the fried chicken sandwich, came with donuts as the bun, saved the donuts for dessert.  Based on earlier reviews, asked for the chicken sandwich to be a little spicy, came out perfect.  My friend got bibimbap, which was good, but had too much sauce.",5,Yelp,P,R100000
V000000052,Shahida R.,7/12/21,The food and atmosphere was perfect for my family. The wings were delicious and so were the mozzarella sticks. They had many original menu items that I've never seen anywhere else. Perfect for happy hour as well!,5,Yelp,P,R100000
V000000053,Byron S.,7/12/21,Drinks was nice all the food was good but the highlight was the old bay honey butter wings!! Yes you read that right. My goodness.... I'm still thinking about it.,5,Yelp,P,R100000
V000000054,Samantha T.,7/11/21,"Great causal hangout spot to do alone or with friends. Good variety of food and drink options with lots of specials. Bottomless mimosas, happy hour M-F and 50% off most drinks on Sundays. The staff is very friendly and everything is delicious.",4,Yelp,P,R100000
V000000055,Marcques W.,7/8/21,"The wife and I came to The Hall for an impromptu Day Date with drinks and apps. This was our first time here for passing by many times per week.
Upon arriving, we waited a couple of minutes for a table and to be seated. I'm not sure the reason because it wasn't busy and there was more than enough seating inside and outside. Our intentions were to sit outside, but we weren't sure if the rain would start dinner or later.
We were walked to what would be or table, which was a high two-seater with bar stools. Lol Nah, not with, as I already mentioned, numerous, normal height tables and chairs around. We opted to sit outside.
We ordered a couple of Figgy Smalls, Pickle Brined Chicken Tenders, Brussel Sprouts with hot honey and liquid feta, Triple Fried Wings with honey butter and old bay, and a literal Bag of Fries.
No sooner than receiving the Brussels sprouts, it started to rain. We asked to be seated inside, and for some strange reason we were tried to be given the high two-seater table and chairs again! We asked to be sat at another table by the garage doors that were closed.
The food came out and we observed how the restaurant was setup like it would be poppin' on the weekend or after work. Post-Covid of course.  
The Figgy Smalls were good. They tasted like something I've inadvertently made at home while experimenting.  The chicken tenders were really good. I really liked the honey mustard sauce. It brought out the dill flavor.  The Brussel Sprouts were really good. I liked the mix of sweet and little heat. My wife are the wings, which she said were good. Lol The bag of fries were a lot. About four or five people could have eaten from that bag.
Will definitely be back. By the time we left, the restaurant picked up filled up quite quickly. Shout-out to our waitress who was nice. I forget her name.",4,Google,P,R100000
V000000056,Miah M.,7/6/21,"Food was great!!! We started by seeing the host, Bridie, who was very welcoming when we walked in. She was super nice 10 stars!!!! Drinks took a little bit but 10/10 for them! Service was great, our server was very tentative and we were very satisfied! Definitely will be returning! Bridie was the star of the show though, she killed it!!!!",5,Yelp,P,R100000
